original_value,real_value_english
319b3297-846d-4b97-8095-ceb3ec505fb8,Health Protection
38bde0e2-c4e6-4089-a2a0-6620bc556809,Agricultural Land Commission
6c20df04-27cd-49aa-9aec-a16455661b1d,Immigration Programs
521b87d0-306a-412e-bcab-8ea9f41ec539,Wildlife
7dd0b9d2-0c99-4dc1-9f90-1e5888bbd78a,Wildlife
5fa8c8d4-4f7d-4ff9-a2c6-3921586d68fd,Watershed Stewardship and Security Branch
d5430356-8d6e-416e-a0c8-43e1e8fe26a7,Ground Water Group
007f2ffd-521e-4af3-acb1-c6c2e54c58f8,Water Protection and Sustainability
746e99a3-c02b-450c-9720-84e34ede45ba,Water Management
ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,Transportation Services
0a767a7d-761d-41d2-b2be-100472933042,Terrestrial Species Recovery
15ec1e0d-e267-4a7b-9e97-b553043dd2eb,Terrestrial Species Recovery
29b74831-02c6-46d4-9670-65d553f85052,Research and Analysis
1246b1b1-28ba-4d86-91d2-3598f1ec631f,Research Branch
c055ea1c-ae34-4524-99d2-28f31d3b6c65,River Forecast Centre
8b629837-6cc7-43cc-94a9-008dad21e1d5,Service Analytics and Standards - Service BC
187a5217-800d-46d1-8f7b-3dc0f0c267ad,Small Business
cb0f7f4a-c9af-4a1e-bc9a-4ba402141fcd,Tenure and Resource Stewardship
234eea6d-4f72-45a0-9cdd-f3da4453de42,Public Libraries
80c16b46-354c-40f5-83be-d825e428d812,Range Branch
83bd8754-9578-4ac0-82dd-17be053334ce,Recreation Sites and Trails BC
7e137b69-bb59-4ab5-9e9f-364feb3edcc8,Regional and Indigenous Economic Policy
ada12784-df13-460e-ad56-e1f81f178388,Regional Operations
76860945-f4dc-43da-a111-448438d2744f,Regional Operations - Cariboo
817d6b31-8e66-435a-955e-2b055f08317a,Regional Operations - Kootenay Boundary
b2403f65-6fe5-4011-9aa5-74e5723ee215,Regional Operations - Northeast
f473c4b8-03df-4cb3-a86a-168406eac22b,Regional Operations - Thompson Okanagan
34ebced4-a637-447c-88f5-3ab184f6ae82,Regional Operations - West Coast
fa258521-2536-4693-8114-895e313c09d9,Archaeology
2c6528e4-194e-4c8e-bca6-91d358943126,Assisted Living Registry and Community Care Licensing
195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,BC Geological Survey
f88f6935-107e-4e4e-82d8-f57f73f8fc40,BC Parks
bfcd546e-9211-42a6-9a29-6873d18b77eb,BC Parks
68bcff90-c51d-4df9-9ecd-fd0bc507e74e,BC Stats Business StatisticsTeam
9165d2c2-37f8-4750-a980-8d735bcd091b,BC Wildfire Service
b6f3e8be-db3b-4ef6-ba3a-6d273015b15a,British Columbia Energy Regulator
9c604475-4241-4c86-86a1-f07a8ba6b2dd,Child Care Operating Funding Program
3772cd8e-a74c-4c1e-810c-8610e923b223,Climate Action Secretariat
904d5e28-776a-4757-a674-9d0c826ffc6b,Climate Partnerships and Engagement Branch
0c450efa-5afc-40e9-add9-e103c809047e,Caribou Recovery Committee
f3131f14-3b3a-4800-85b4-c735c4b4ec73,Collaborative Stewardship and Cumulative Effects Management
971f506c-a925-4549-b45b-572e6cc4b708,Collaborative Stewardship and Cumulative Effects Management
887e5427-b980-48c8-853d-74623333bfff,Construction and Maintenance
2ab2ab74-57c0-47f8-bb2e-c88dfb24f504,Court Services Branch
280a54e5-d9ff-48c6-a99d-296589379ffc,Parcelmap BC Data Inquiries
d2e433a1-b785-4d03-8a2b-392069175eb4,DataBC Operations
66263ee0-816d-4bb4-858b-41e1b6377e08,Ecosystems
eef3ecb6-911a-4e3e-bba5-62d95bc99a25,Analysis and Reporting Unit
d3b15338-a8fa-468a-9de8-b0838b6e6830,Education Reporting Unit
8b45b14b-7f6a-4fbf-b54f-effe8d22c89c,Emergency Management and Climate Readiness
eff8422d-6c3b-46e1-8865-4ead7e5f02f9,Employment and Labour Market Services Division
1ea0a35b-8660-422c-9a95-35fb68856562,Environmental Assessment Office
585ad9ad-0ff6-4740-90f9-b83b5e172145,Environmental Monitoring and Analysis Branch
e1706523-0e78-42e8-8334-0664833f20b0,Environmental Monitoring and Analysis Branch
b3b04232-ded0-4552-ba5d-736659fb6660,BC Air Quality
2aca0b9e-ce1e-4e9a-be4c-9f91dcb7365c,Extension and Support Services
299c435a-4a2b-42ca-a3b8-e520c9628f89,First Nation Land Transfers
78d16981-8641-430b-b019-1a5e54ceb9bd,Fish and Wildlife Compensation Program
199e816f-bb14-40f6-96e2-ab84b8b49faf,FAIB Data Management
72b95cb6-2ca9-465e-a023-485e200c654a,Forest Carbon and Climate Services Branch
36ee73ba-9a70-419f-8411-6605359d8803,Forest Improvement and Research Management Branch
25d7d485-f358-4612-8aff-71f6da701752,Forest Science, Planning and Practices Branch
32cf90fc-9350-4ab6-995f-11a66125b5a1,Forest Tenures Branch
e51a8106-11c7-4436-a967-7cee18bfb159,GeoBC Inquiries
a19fbf8f-2195-4ba6-b034-2ac83c30f497,Governance and Structure
1c19b98e-5d61-464d-9798-eb7cab63ffcd,HealthLinkBC
dbf1cfef-52b7-4b87-a7b2-e8c3d8e8723d,Heritage Branch
6969d274-d120-4a6a-9730-fcd4e33d4c81,Knowledge Management
1ce99650-312e-4f4e-a80b-be931a78ec21,Labour Market Information, Reporting & Evaluation Office
04215a2c-c0b4-4829-a082-bb9467f20e1c,Mineral Titles
d3b3fc7e-ad7c-4417-b970-4443a5b5551b,MoH Analytics
f6f6a67f-a56e-427d-af19-96e644dea598,Plant and Animal Health
123c0cb5-2094-4653-a3e7-f8d2a71d8084,Policy and Legislation