tagname,language
"d'eau potable",fra
"listes d'employés",fra
aborginal labour force,eng
aboriginal identity,eng
aboriginal,eng
accident,eng
accidents,fra
accommodations and meals,eng
achèvements,fra
activity,eng
activité physique,fra
activités,fra
address ranges,eng
address,eng
admissions,eng
adresse,fra
adult psychological well- being,eng
affaires de traite de personnes,fra
age group,eng
age of mother,eng
age,eng
agression,eng
agrées,fra
air photo,eng
aircraft,eng
alcoholic beverages,eng
aliment,eng
allocations de retraite,fra
alzheimer's,eng
annual indicators,eng
annual,eng
année d'études,fra
année scolaire,fra
ans,fra
application,eng
apprenticeship program,eng
apprenticeship programs,eng
archives,eng
arrêts de travail,fra
assault,eng
assessment,eng
assistant professor,eng
associate professor,eng
autobus de passagers,eng
autochtones,fra
autres dépenses,fra
avantages non salariaux,fra
average expected useful life,eng
average hourly earnings,eng
average scores,eng
aéronefs,fra
baby,eng
base,eng
bassin versant,fra
bear,eng
bedrock,eng
besoins de l'entreprise,fra
bia,eng
bien-être psychologique adulte,fra
birth by month,eng
birth,eng
births,eng
body mass index,eng
boire de l'eau,fra
bois,fra
boissons alcoolisées,fra
boundaries,eng
building permits,eng
business needs,eng
business,eng
bébé,fra
cadastral,eng
cadastrale,fra
camion commercial,fra
canada mortgage and housing corporation,eng
canada,eng
canadian citizens,eng
cancer,fra
cannabis,fra
carburant diesel,fra
care of children,eng
care work,eng
carte,fra
cause de décès,fra
cause of death,eng
ccn,eng
cemeteries,eng
census,eng
central business district,eng
centre de service,fra
centre ville,fra
cerfs de virginie,fra
certaines statistiques de la criminalité,fra
chaleur,fra
champs de captage,fra
cimetières,fra
circonscription,eng
circulant,fra
citizenship,eng
citoyen canadien,fra
citoyenneté,fra
closures,eng
commerce de détail,fra
commerce de gros,fra
commercial rents,eng
commercial truck,eng
community boundaries,eng
completions,eng
components,eng
composantes,fra
compostage,fra
composting,eng
comptes publics,fra
comté,fra
congé,fra
conservation,eng
consommation,fra
consumer price index,eng
consumer,eng
coordinate transformations,eng
coordinates,eng
corporate registry,eng
correctional services,eng
cote altimétrique,fra
cotisations sociales patronales,fra
county,eng
couple families,eng
couples avec enfants,fra
couples with children,eng
covid-19,eng
crime and justice,eng
crime severity index,eng
crime statistics,fra
croissance démographique,fra
crown land,eng
csnb,eng
current smoker,eng
d'équipements de protection individuelle,fra
daily average hours,eng
daily or occasional,eng
death,eng
deaths,eng
deer,eng
demographic growth,eng
demographic,eng
density,eng
densité,fra
dependency,eng
diabetes,eng
diabète,fra
diesel fuel,eng
diseases of heart,eng
disposal of waste,eng
district scolaire,eng
district,eng
districts de services locaux,fra
diversity,eng
diversité,fra
divorce rates,eng
domaine d'étude,fra
downtown,eng
dpm,eng
drainage,eng
drillhole,eng
drivers exam,eng
dtm,eng
durée de vie utile moyenne prévue,fra
durée de vie utile,fra
déclarées par la police,fra
décès,fra
démographique,fra
dépendance,fra
dépenses alimentaires,fra
dépenses de recherche et développement,fra
dépenses des ménages,fra
dépenses intérieures totales,fra
dépenses,fra
earnings,eng
eau,fra
ecodistrict,eng
ecole,fra
economic dashboard,eng
economic families,eng
economic recovery dashboard,eng
ecoregion,eng
ecosection,eng
education,eng
election,eng
elections,eng
electric power,eng
electricity generation,eng
elevation,eng
embonpoint,fra
emploi,fra
employed women with children,eng
employed,eng
employee lists,eng
employees in management,eng
employees,eng
employers,eng
employeurs,fra
employment rate,eng
employment,eng
employé,fra
employés en gestion,fra
employés salariés,fra
employés,fra
en construction,fra
engrais,fra
enquête nationale auprès des ménages (enm),fra
enregistrement sonore,fra
entreprises appartenant à des femmes par province,fra
entreprises,fra
espérance de vie,eng
essence,fra
estimates,eng
estimations financières,fra
estimations,fra
examen de conduite,fra
expected useful life,eng
expenditures on research and development,eng
exploration minière,fra
expéditions,fra
faculty and teachers,eng
faible revenu et inégalité,fra
familles économiques,fra
family and personal income,eng
family size,eng
family types,eng
farm land,eng
faune,fra
federal,eng
federated,eng
female population,eng
female victims,eng
female,eng
females 15-19 years,eng
femme,fra
femmes 15 - 19,fra
femmes employées avec enfants,fra
femmes victimes,fra
fermetures,fra
ferroviaire,fra
ferroviaires,fra
fertility rates,eng
fertilizer,eng
field of study,eng
financial estimates,eng
fishing,eng
flood risk,eng
foncière,fra
fond de la mer,fra
fondés sur l'affaire,fra
food services and drinking places,eng
food spending,eng
food,eng
force de travail,fra
forest,eng
formation et apprentissage,fra
forêt,fra
foyer,fra
frais de scolarité,fra
frais de subsistance,fra
french immersion,eng
full professor,eng
fumeur actuel,fra
fundy,eng
fédéral,fra
fédérale,fra
fédérée,fra
féminin,fra
fériés,fra
gas,eng
gasoline and fuel oil,eng
gdp,eng
gender,eng
gender-based violence,eng
gendre,eng
genealogy,eng
geology,eng
geonb,eng
gestational age,eng
gisements minéraux,fra
gouvernements locaux,fra
government student loans,eng
grade,eng
granulés de bois,fra
grid,eng
grille,fra
gross domestic product,eng
grossesse,fra
généalogique,fra
géologie,fra
health,eng
heures consacrées au travail domestique,fra
holiday,eng
home,eng
homeless shelter,eng
hospitals,eng
hours spent on domestic work,eng
household chores,eng
household spending,eng
household,eng
housing starts,eng
human trafficking,eng
hypothèques,fra
hôpitaux,fra
identité autochtone,fra
image raster,eng
immatriculations,fra
immersion française,fra
immigrant status,eng
immigration,fra
impact,eng
imposition,fra
incident-based,eng
incidents autodéclarés,fra
incidents non signalés à la police,fra
incidents not reported to police,fra
incidents reported to police,eng
incidents signalés à la police,eng
income statistics,eng
income,eng
indemnités de cessation d'emploi,fra
index,eng
indian,eng
indicateurs annuels,fra
indice de gravité de la criminalité,fra
indice de masse corporelle,fra
indice des prix à la consommation,fra
indice des prix,fra
indice,fra
indigenous,eng
industrial product,eng
inland,eng
inscriptions postsecondaires,fra
inspection,fra
international d'évaluation des élèves,fra
international migration,eng
international student assessment,eng
international travellers,eng
interprovincial migration,eng
intérieures,fra
investissements publics et privés,fra
ipln,eng
itinerant,fra
itinérants,fra
job training,eng
job vacancies,eng
job vacancy rate,eng
jours,fra
justice,eng
l'agression sexuelle,fra
l'automutilation,fra
l'entreprise,fra
l'essence et du mazout,fra
l'industrie ferroviaire,fra
l'utilisation des terres,fra
l'âge de la mère,fra
l'éducation post-secondaire,fra
l'électricité,fra
la criminalité,fra
la haute direction,fra
la pauvreté,fra
la violence sexiste,fra
labour force status,eng
labour force,eng
labour standards,eng
labour,eng
lac,fra
lake,eng
land use,eng
langue officielle,fra
laquelle l'indice des prix des logements neufs,fra
layoffs,eng
les femmes en gestion,fra
licensed,eng
lidar,fra
life expectancy,eng
limites des communautés,fra
limites,fra
limits,eng
listes de fournisseurs,fra
liver disease,eng
living expenses,eng
local government,eng
local service districts,eng
locaux,fra
logement et repas,fra
lone-parent families by sex of parent,eng
low income and inequality,eng
loyers commerciaux,fra
lumber production,eng
lyme disease,eng
maladie de lyme,fra
maladie du coeur,fra
maladie du foie,fra
male,eng
management occupations,eng
map,eng
mariage,fra
mariages,fra
marriage,eng
marriages,eng
masculin,fra
materials diverted,eng
matériaux détournés,fra
migration internationale,fra
migration interprovinciale,fra
militaires,fra
military,eng
mineral deposits,eng
mineral exploration,eng
mineral,eng
minerals,eng
mining,eng
minister,eng
ministre,fra
minérales,fra
mises en chantier,fra
mises à pied,fra
mnt,fra
model,eng
modèle,fra
mois,fra
month,eng
moose,eng
mort de route,fra
mortality,eng
mortalité,fra
mortgage,eng
motor vehicle,eng
moyenne journalière,fra
municipal,eng
municipality,eng
municipalité,fra
music publishing,eng
ménage privé,fra
ménage,fra
naissance selon le mois,fra
naissance,fra
naissances,fra
names,eng
national household survey (nhs),eng
national,eng
natural,eng
naturelles,fra
nb,eng
nbhc,eng
nbhn,eng
ncb,eng
ne pas chercher de travail,fra
network,eng
new brunswick data,eng
new brunswick,eng
new housing price index,eng
new motor vehicle,eng
nhpi,eng
niveau scolaire,fra
nom,fra
nombre de naissances vivantes,fra
non résidents,fra
non-immigrants,fra
non-permanent residents,eng
non-resident,fra
non-wage benefits,eng
normes du travail,fra
northumberland,eng
not canadian citizens,eng
not looking for work,eng
notes moyennes,fra
nouveau-brunswick,eng
nouveaux actifs publics de transport en commun,fra
nrwn,eng
ntv2,eng
nuage de points,fra
nuisance,eng
number of live births,eng
number of new cases,eng
nursing,eng
obese,eng
obèse,fra
official language,eng
offshore,eng
oil,eng
openings,eng
orignial,eng
other expenses,eng
ours,eng
ouvertures,fra
overweight,eng
paid by the hour,eng
paid work activities,eng
paiements aux médecins,fra
pailles,fra
pan,fra
par année de mariage,fra
parc,fra
parcel,eng
parcelle,fra
parcelles,fra
parcels,eng
parent seul,fra
parish,eng
park,eng
paroisse,fra
participation rate,eng
passenger bus,eng
payments to medical practitioners,eng
payroll employees,eng
peat,eng
peatland,eng
pensions,eng
percentage of female population,eng
percentage of women,eng
performing sector,eng
permis de bâtir,fra
personal care,eng
personal income,eng
personal protective equipment,eng
personnel de police,fra
personnes à faible revenu,fra
persons in low income,eng
pesticides,fra
petroleum,eng
photo aérienne,fra
physical activity,eng
pib,eng
pipeline,eng
plastic,eng
plastique,fra
plastiques à usage unique,fra
pna,eng
poids,fra
point cloud,eng
police personnel,eng
police-reported intimate partner  violence,eng
police-reported,eng
populaire,fra
popular,eng
population active autochtone,fra
population active,fra
population and demography,eng
population féminine,fra
population,eng
post secondaire,fra
post secondary enrollments,eng
post-secondary,eng
postes vacants,fra
postsecondary education savings,eng
postsecondary education,eng
potable water,eng
pourcentage de femmes,fra
pourcentage de la population féminine,fra
poverty,eng
pregnancy rates,eng
premises,fra
price index,eng
price,eng
prices,eng
private households,eng
prix,fra
production d'électricité,fra
produit intérieur brut,fra
produits industriels,fra
professeurs adjoints,fra
professeurs titulaires,fra
professeurs à temps plein,fra
professions de gestion,fra
programme d'apprentissage,fra
programmes gouvernementaux de prêts étudiants,fra
property,eng
propriété publique,fra
propriété,fra
protected,eng
protégé,fra
province,eng
prêts étudiants consentis par le gouvernement,fra
public accounts,eng
public and private investment,eng
public school,eng
publicly owned public transit assets,eng
publicly owned,eng
pétrolières,fra
pêche,fra
quotidien ou occasionnel,fra
rail,eng
railway industry,eng
railway,eng
raison,fra
raster image,eng
reason,eng
recherche et développement,fra
refuges pour sans-abri,fra
region,eng
registrations,eng
registre d'entreprise,fra
report,eng
research and development,eng
reserve,fra
residential facilities,eng
retail trade,eng
retirement allowance,eng
returning,eng
revenant,eng
revenu familial et personnel,fra
revenu personnel,fra
revenu total au nb,fra
revenu total par sexe,fra
revenu,fra
revenus des commissions scolaires,fra
revenus,fra
rfn,eng
richesse,eng
river,eng
rivière,fra
road network,eng
roadkill,eng
roads,eng
routes,fra
rural,eng
ruraux,fra
région,fra
rémunération horaire moyenne,fra
rémunérés à l'heure,fra
réseau routier,fra
réseau,fra
résident non permanent,fra
salaire par profession,fra
salaire,fra
salaires,fra
salaried employees,eng
salaries,eng
sales,eng
sans emploi,fra
santé,fra
school board revenues,eng
school district,eng
school year,eng
school,eng
seafloor,eng
secondary education,eng
secteur d'exécution,fra
sections,eng
selected crime statistics,eng
self-harm,eng
self-reported incidents,eng
selling price index,eng
semaine normale de travail,fra
senior executive expenses,eng
senior management,eng
senior,eng
service centre,eng
services correctionnels,fra
services de restauration et les débits de boissons,fra
severance pay,eng
sex,eng
sexe,fra
sexual assault,eng
shipments,eng
single use plastics,eng
single use,eng
social contributions,eng
société canadienne d'hypothèques et de logement,fra
soil,eng
soin des enfants,fra
soins personnels,fra
soins,fra
sol,fra
sound recording,eng
source directe de fonds,fra
source of funds,eng
sources de financement,eng
sources of funds,eng
species,eng
spending,eng
spot height,eng
spousal violence,eng
statistics,eng
statistiques de revenus,fra
statistiques des crimes,fra
statistiques,fra
status,eng
statut d'immigrant,fra
statut,fra
statutory,eng
stocks,eng
straws,eng
student loan programs,eng
substrat rocheux,fra
suicide,eng
supplier lists,eng
tableau de bord de la reprise économique,fra
tableau de bord économique,fra
taille de la famille,fra
taux d'emploi,fra
taux de chômage,fra
taux de classement pondérés,fra
taux de divorce,fra
taux de fécondité,fra
taux de grossesse,fra
taux de participation,fra
taux de population,fra
taux de postes vacants,fra
taxation,fra
terrain,fra
terre humide,fra
terres agricoles,fra
terres de la couronne,fra
tick,eng
tique,fra
topographic,eng
topographique,fra
total domestic expenditures,eng
total income by sex,eng
total income in nb,eng
tourbe,fra
tourbiere,fra
tourism,eng
touristiques,fra
training and learning,eng
traitements,fra
tranche d'âge,fra
tranches d'adresses,fra
transformation des coordonnées,fra
transformation,fra
transport urbain,fra
transport,eng
transportation,eng
travail de soin,fra
travellers,eng
travelling,eng
trou de forage,fra
tuition fees,eng
types de famille,fra
tâches ménagères,fra
under construction,eng
unemployed,eng
unemployment rate,eng
united states,eng
units,eng
urbain,fra
urban transit,eng
urban,eng
usage unique,fra
usage,fra
use of own bags or containers,eng
utilisation de ses propres sacs ou contenants,fra
utilisation,fra
valeur par acre,fra
valuation,eng
value per acre,eng
vehicles,eng
ventes,fra
victimes de mauvais traitements,fra
victimes de violence conjugale,fra
victimes de violence entre partenaires intimes déclarée par la police,fra
victimisation avec violence,fra
victimisation violente,fra
victims of abuse,eng
victims of spousal abuse,eng
viewer,eng
violence conjugale,fra
violence,eng
violent victimization,eng
visualiseur,fra
vote,eng
voting,eng
voyageurs internationaux,fra
voyageurs,fra
véhicules automobiles neufs,fra
véhicules automobiles,fra
véhicules,fra
wage gap,eng
wages by occupation,eng
wages,eng
water,eng
watershed,eng
wealth,eng
weight,eng
weighted clearance rates,eng
well,eng
wellfield,eng
wetland,eng
wholesale trade,eng
wildlife,eng
women full time professors,eng
women in management positions,eng
women owned enterprises by provinces,eng
women's equality,eng
women,eng
wood pellets,eng
wood,eng
work stoppage,eng
work week,eng
year of marriage,eng
zaa,eng
znp,eng
zones inondables,fra
âge,fra
âgé,fra
écart salarial,fra
école publique,fra
école,fra
édition musicale,fra
éducation secondaire,fra
éducation,fra
élection,fra
élections,fra
élimination des déchets,fra
élévation,fra
épargne pour études postsecondaires,fra
équipement de protection individuelle,fra
établissements résidentiels,fra
états-unis,fra
évaluation,fra
frais de déplacement et autres dépenses de l'exécutif supérieur,fra