original_sector_value,sector_value_en,sector_value_fr,jurisdiction,fgp_publish
Archives of New Brunswick,Archives of New Brunswick,Archives du Nouveau-Brunswick,provincial,oui
Department of Energy and Resource Development (ERD),New Brunswick Department of Energy and Resource Development,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick,provincial,oui
Department of Environment and Local Government,New Brunswick Department of Environment and Local Government,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick,provincial,oui
Department of Public Safety,New Brunswick Department of Justice and Public Safety,Ministère de la justice et de la sécurité publique nouveau-brunswick,provincial,oui
Education and Early Childhood Development,New Brunswick Department of Education and Early Childhood Development,Ministère de l'Éducation et du Développement de la petite enfance du Nouveau-Brunswick,provincial,oui
Elections New Brunswick,Elections New Brunswick,Élections Nouveau-Brunswick,provincial,oui
Energy and Resource Development,New Brunswick Department of Energy and Resource Development,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick,provincial,oui
Environment and Local Government,New Brunswick Department of Environment and Local Government,Ministère de l'Environnement et des Gouvernements locaux du Nouveau-Brunswick,provincial,oui
Finance and Treasury Board,New Brunswick Department of Finance and Treasury Board,Ministère des Finances et du Conseil du Trésor du Nouveau-Brunswick,provincial,oui
Finance,New Brunswick Department of Finance and Treasury Board,Ministère des Finances et du Conseil du Trésor du Nouveau-Brunswick,provincial,oui
Health,New Brunswick Department of Health,Ministère de la Santé du Nouveau-Brunswick,provincial,oui
Justice and Public Safety,New Brunswick Department of Justice and Public Safety,Ministère de la justice et de la sécurité publique nouveau-brunswick,provincial,oui
Mount Allison University,Mount Allison University,Université Mount Allison,user,oui
NB Open Data,x,x,x,oui
Natural Resources Canada,Government of Canada; Department of Natural Resources,Gouvernement du Canada; Département des Ressources Naturelles,federal,non
New Brunswick Health Council (NBHC),New Brunswick Health Council,﻿Conseil de la santé du Nouveau-Brunswick,provincial,oui
New Brunswick Health Council,New Brunswick Health Council,﻿Conseil de la santé du Nouveau-Brunswick,provincial,oui
Nursing Home Services Branch,New Brunswick Department of Social Development,Ministère du Développement social du Nouveau-Brunswick,provincial,oui
Open Data NB,Service New Brunswick,﻿Service Nouveau-Brunswick,provincial,oui
SNB,Service New Brunswick,﻿Service Nouveau-Brunswick,provincial,oui
Service New Brunswick,Service New Brunswick,﻿Service Nouveau-Brunswick,provincial,oui
Social Development,New Brunswick Department of Social Development,Ministère du Développement social du Nouveau-Brunswick,provincial,oui
Statistics Canada,Government of Canada; Statistics Canada,Gouvernement du Canada; Statistiques Canada,federal,non
Treasury Board,New Brunswick Department of Finance and Treasury Board,Ministère des Finances et du Conseil du Trésor du Nouveau-Brunswick,provincial,oui
Vital Statistics,x,x,x,oui
Wildlife,New Brunswick Department of Energy and Resource Development,Ministère des Ressources naturelles et du Développement de l'énergie du Nouveau-Brunswick,provincial,oui