original_sector_value,hnap_sector_value,graphic_link,fgp_publish,jurisdiction
AdMare,AdMare,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/AdMare.png,Non,municipal
Agence de mobilité durable,Ville de Montréal;Agence de mobilité durable,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/amd.png,Oui,municipal
ARTM,Autorité régionale de transport métropolitain,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/artm.png,Oui,provincial
Autorité des marchés publics,Autorité des marchés publics,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/amp.png,Oui,provincial
Bibliothèque et Archives nationales du Québec,Bibliothèque et Archives nationales du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Bixi Montréal,Ville de Montréal;Bixi-Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/bixi.png,Oui,municipal
Bureau du taxi de Montréal,Ville de Montréal;Bureau du taxi de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/taxi_montreal.png,Oui,municipal
Canards Illimités Canada,no name,No url,Non,provincial
CEFRIO,no name,No url,Non,provincial
Cefrio,Cefrio,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/cefrio.png,Oui,provincial
Circuit électrique,Circuit électrique,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/Circuit_electrique.png,Oui,provincial
Commerce Sherbrooke,Ville de Sherbrooke;Commerce Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/commerce_sherbrooke.png,Oui,municipal
Commission de protection du territoire agricole,Commission de protection du territoire agricole,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Commission de toponymie,Commission de toponymie du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Commission des normes, de l’équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et de la sécurité du travail",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/cnesst.png,Oui,provincial
Coopérative de solidarité Fab Labs Québec,Coopérative de solidarité Fab Labs Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/Logo_Coop_Fab_Labs_Qc.png,Oui,provincial
Curateur public du Québec,Curateur public du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Destination Sherbrooke,Ville de Sherbrooke;Destination Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/destination_sherbrooke.png,Oui,municipal
Eco-Compteur,no name,No url,Non,provincial
Entreprendre Sherbrooke,Ville de Sherbrooke;Entreprendre Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/Entreprendre_Sherbrooke.png,Non,municipal
Exo,Exo,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/exo.png,Oui,provincial
Financière agricole du Québec,Financière agricole du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
GéoMont,GéoMont,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/geomont.png,Oui,provincial
Hydro-Québec,Hydro-Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/HydroQuebec.png,Oui,provincial
Institut de la statistique du Québec,Institut de la statistique du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Institut national de santé publique du Québec (INSPQ),Institut national de santé publique du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Le circuit électrique,no name,No url,Non,provincial
Le Musée des beaux-arts de Montréal,Le Musée des beaux-arts de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/mbam.png,Oui,provincial
Le Réseau de transport de la Capitale,Ville de Québec;Le Réseau de transport de la Capitale,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/rtc.png,Oui,municipal
Mediafilm,Mediafilm,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/mediafilm.png,Oui,provincial
Ministère de la Culture et des Communications,Ministère de la Culture et des Communications,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de la Cybersécurité et du Numérique,Ministère de la Cybersécurité et du Numérique,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de la Famille,Ministère de la Famille,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de la Justice,Ministère de la Justice,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de la Santé et des services sociaux,Ministère de la Santé et des services sociaux,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de la Sécurité publique,Ministère de la Sécurité publique,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l'Agriculture, des Pêcheries et de l'Alimentation","Ministère de l'Agriculture, des Pêcheries et de l'Alimentation",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Économie et de l'Innovation,Ministère de l'Économie et de l'Innovation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l'Économie, de l'Innovation et de l'Énergie","Ministère de l'Économie, de l'Innovation et de l'Énergie",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Éducation et de l'Enseignement supérieur,Ministère de l'Éducation et de l'Enseignement supérieur,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Éducation et Ministère de l'Enseignement supérieur,Ministère de l'Éducation et Ministère de l'Enseignement supérieur,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Emploi et de la Solidarité sociale,Ministère de l'Emploi et de la Solidarité sociale,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l'Énergie et des Ressources naturelles,Ministère de l'Énergie et des Ressources naturelles,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère de l’Environnement et de la Lutte contre les changements climatiques,Ministère de l’Environnement et de la Lutte contre les changements climatiques,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l’Environnement, Lutte contre les changements climatiques, Faune et Parcs","Ministère de l’Environnement, Lutte contre les changements climatiques, Faune et Parcs",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l’Immigration, de la Diversité et de l’Inclusion","Ministère de l’Immigration, de la Diversité et de l’Inclusion",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère de l’Immigration, de la Francisation et de l’Intégration","Ministère de l’Immigration, de la Francisation et de l’Intégration",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Affaires municipales et de l'Habitation,Ministère des Affaires municipales et de l'Habitation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Finances du Québec,Ministère des Finances du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère des Forêts, de la Faune et des Parcs","Ministère des Forêts, de la Faune et des Parcs",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Relations internationales et de la Francophonie,Ministère des Relations internationales et de la Francophonie,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Ressources naturelles et des Forêts,Ministère des Ressources naturelles et des Forêts,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère du Tourisme,Ministère du Tourisme,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Transports,Ministère des Transports,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère des Transports et de la Mobilité durable,Ministère des Transports et de la Mobilité durable,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ministère du Travail,Ministère du Travail,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Ministère du Travail, de l'Emploi et de la Solidarité sociale","Ministère du Travail, de l'Emploi et de la Solidarité sociale",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
MRC Bécancour,MRC Bécancour,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/becancour.png,Oui,municipal
MRC d'Arthabaska,MRC d'Arthabaska,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/arthabaska.png,Oui,municipal
MRC de Drummond,MRC de Drummond,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/drummond.png,Oui,municipal
MRC de Nicolet-Yamaska,MRC de Nicolet-Yamaska,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/nicolet_yamaska.png,Oui,municipal
Musée d'art contemporain de Montréal,Musée d'art contemporain de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/mac.png,Oui,provincial
Musée d'art contemporain des Laurentides (MAC LAU),no name,No url,Non,provincial
Musée d’art de Rouyn-Noranda,Musée d’art de Rouyn-Noranda,Non,municipal
Musée de la civilisation,Musée de la civilisation,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/musee_civilisation.png,Oui,provincial
Musée national des beaux-arts du Québec,Musée national des beaux-arts du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/mbanq.png,Oui,provincial
Office de la protection du consommateur,Office de la protection du consommateur,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/ProtectConso.png,Oui,provincial
Office québécois de la langue française (OQLF),Office québécois de la langue française,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Orthophotos – Ville de Rouyn-Noranda,Ville de Rouyn-Noranda,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/rouyn.png,Oui,municipal
Orthophotos – Ville de Shawinigan,Ville de Shawinigan,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/shawinigan.png,Oui,municipal
Réalisatrices équitables,no_name,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/realisatrices.png,Non,provincial
Réalisatrices Équitables,no_name,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/realisatrices.png,Non,provincial
RECYC-QUÉBEC,RECYC-QUÉBEC,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
"Régie des alcools, des courses et des jeux","Régie des alcools, des courses et des jeux",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/regie.png,Non,provincial
"Régie des alcools, des courses et des jeux du Québec","Régie des alcools, des courses et des jeux du Québec",https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/regie.png,Non,provincial
Régie du bâtiment du Québec,Régie du bâtiment du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Retraite Québec,Retraite Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Revenu Québec,Revenu Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Secrétariat du Conseil du trésor,Secrétariat du Conseil du trésor,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Sherbrooke Données ouvertes,Ville de Sherbrooke;Sherbrooke Données ouvertes,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/sherbrooke-donnees-ouvertes.png,Oui,municipal
Société de développement des entreprises culturelles,Société de développement des entreprises culturelles,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Société de l'assurance automobile du Québec (SAAQ),Société de l'assurance automobile du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Société de transport de Laval,Ville de Laval;Société de transport de Laval,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/stl.png,Oui,municipal
Société de transport de Montréal,Ville de Montréal;Société de transport de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/stm.png,Oui,municipal
Société de transport de Sherbrooke,Ville de Sherbrooke;Société de transport de Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/sts.png,Oui,municipal
Société de Transport de Trois-Rivières,Ville de Trois-Rivières;Société de Transport de Trois-Rivières,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/sttr.png,Oui,municipal
Société des célébrations du 375e anniversaire de Montréal,Ville de Montréal;Société des célébrations du 375e anniversaire de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/mtl_375.png,Oui,municipal
Société des établissements de plein air du Québec,Société des établissements de plein air du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/sepaq.png,Oui,provincial
Société des musées du Québec,no name,No url,Non,provincial
Société du Grand Théatre,Société du Grand Théatre,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/scgt.png,Oui,provincial
Société québécoise des infrastructures,Société québécoise des infrastructures,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
SociéTIC,Ville de Sherbrooke;SociéTIC,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/tic_sherbrooke.png,Oui,provincial
Stationnement de Montréal,Ville de Montréal;Stationnement de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/stationnement_mtl.png,Oui,municipal
Sûreté du Québec,Sûreté du Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Transition énergétique Québec,Transition énergétique Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gouv_quebec.png,Oui,provincial
Ville de Blainville,Ville de Blainville,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/blainville.png,Oui,municipal
Ville de Gatineau,Ville de Gatineau,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/gatineau.png,Oui,municipal
Ville de Laval,Ville de Laval,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/laval.png,Oui,municipal
Ville de Lévis,Ville de Lévis,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/levis.png,oui,municipal
Ville de Longueuil,Ville de Longueuil,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/longueuil.png,Oui,municipal
Ville de Montréal,Ville de Montréal,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/montreal.png,Oui,municipal
Ville de Québec,Ville de Québec,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/ville_quebec.png,Oui,municipal
Ville de Repentigny,Ville de Repentigny,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/repentigny.png,Oui,municipal
Ville de Rimouski,Ville de Rimouski,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/rimouski.png,Oui,municipal
Ville de Rouyn-Noranda,Ville de Rouyn-Noranda,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/rouynnoranda.png,Oui,municipal
Ville de Saguenay,Ville de Saguenay,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/ville_saguenay.png,Oui,municipal
Ville de Shawinigan,Ville de Shawinigan,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/shawinigan.png,Oui,municipal
Ville de Sherbrooke,Ville de Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/sherbrooke.png,Oui,municipal
Ville de Sherbrooke - Données géomatiques,Ville de Sherbrooke;Données géomatiques,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/sherbrooke.png,Oui,municipal
Ville de Trois-Rivières,Ville de Trois-Rivières,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/3rivieres.png,Oui,municipal
ZAP Sherbrooke,Ville de Sherbrooke;ZAP Sherbrooke,https://raw.githubusercontent.com/federal-geospatial-platform/fgp-metadata-proxy/master/images/resampled/qc/zap_sherbrooke.png,Oui,municipal
