fgp_publish,format,spatial_type
Oui,3dm,b-vector
non,4pd,
non,9d,
non,appendixc,
Non,application/msaccess,c-textTable
Non,application/pdf,
Oui,arcgis,
Oui,arcgis geoservices rest api
Oui,ArcInfo,b-vector
oui,ascii grid,a-grid
non,asp,
Non,aspx,
Non,BIN,
non,ca,
oui,caris,
non,chem,
non,com,
Non,csv (compressed - zip)
Non,CSV,c-textTable
Non,data,
Oui,DGN,b-vector
non,do#,
Non,DOC,
Non,DOCX,
Oui,DWG,b-vector
Oui,DXF,b-vector
Oui,ECW,a-grid
oui,esri,
oui,ESRI map service,b-vector
Non,ESRI REST,b-vector
Non,excel,c-textTable
Oui,fgbd,b-vector
Oui,FGDB,b-vector
oui,fgdb/gdb,b-vector
oui,flat raster binary,a-grid
Non,flv,
Non,FTP,
Non,GBFS,
Oui,GDB,b-vector
Non,GeoJSON,b-vector
oui,geosoft,
Oui,GeoTIF,a-grid
Oui,geotiff,a-grid
oui,geotiffs,a-grid
Oui,géotiff,a-grid
non,gif,
Oui,gml,b-vector
Oui,GPK,b-vector
Oui,GPKG,b-vector
Oui,grid,a-grid
oui,Grid data,a-grid
oui,griddata,a-grid
oui,grids,a-grid
oui,gsb,
Oui,GTFS,c-textTable
Non,home,
non,htlm,
Non,htm,
Non,HTML,
non,https,
Non,ICS,
Non,JP2,a-grid
Non,JPEG,a-grid
Non,JSON,b-vector
Oui,KML,b-vector
Oui,KMZ,b-vector
non,lands,
Oui,LAZ,b-vector
oui,lpk,
Oui,LYR,b-vector
oui,maps,
Non,MDB,
oui,mif,
non,miniers,
non,mp4,
Non,ODP,
Non,ODS,
Non,ODT,
Non,openapi-json,
oui,oracle_sde,
Non,other,
non,others,
Non,PDF,
Non,pdfcc-32,
non,pdfs,
Oui,PGDB,b-vector
non,pkg,
non,pkgs,
non,plates,
Non,PNG,a-grid
oui,point,b-vector
oui,polygon,b-vector
non,pptx,
Oui,qlr,b-vector
Non,qml,
non,rdf,
Oui,REST,
Oui,RINEX,b-vector
non,risk,
Non,RSS,
Non,rtf,
oui,shapefiles,b-vector
oui,shapefile,b-vector
Oui,Shapefile (compressed),b-vector
Oui,SHP,b-vector
Oui,SHX,b-vector
Oui,skp,b-vector
Non,SQLITE,
Non,TAB,c-textTable
Non,text file
Non,tif,a-grid
non,tiff,a-grid
Non,TSV,c-textTable
Non,txt,c-textTable
oui,vector digital,b-vector
Oui,WCS,a-grid
Non,web,
Non,web page
non,web app,
Oui,WFS,b-vector
Oui,WMS,a-grid
Oui,WMTS,a-grid
Non,XLS,c-textTable
non,xlsm,c-textTable
Non,XLSX,c-textTable
Non,XML,c-textTable
oui,YGS open files,a-grid
oui,Yukon digital map data viewer,
Non,ZIP,
Non,zip%20,
Non,zip%20%20,
Non,A
Non,B
Non,C
Non,D
Non,E
Non,F
Non,G
Non,H
Non,I
Non,J
Non,K
Non,L
Non,M
Non,N
Non,O
Non,P
Non,Q
Non,R
Non,s
Non,T
Non,U
Non,V
Non,W
Non,X
Non,y
Non,z
Non,metadata
oui,tileindex,b-vector
Non,%20data
non,north
non,south
non,ne
non,nw
non,sw
non,zones
non,swwv
non,final
non,v2
non,stats
non,7e5
oui,dem,a-grid
non,pec
Oui,"shp, kmz",b-vector
Oui,dng,b-vector
non,xlsb
non,oyen
non,en
non,ivt
non,link
non,odata
non,uri
non,msi
non,.xls
non,application/vnd.ms-excel (xlsx)